Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,t,pct_of_receipts,pillar2_rank_wt,pillar2_rank,pillar1_rank,pillar1_rank_wt,sigmoid,curve
Corporation Income Taxes,5935000000,Receipt,-2.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.060086650174007626,117.21953289857014
Estate and Gift Taxes,2015000000,Receipt,-2.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.060086650174007626,23.82510831271751
Excise Taxes,8123000000,Receipt,-2.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.060086650174007626,163.91674519149646
Miscellaneous Receipts,11516000000,Receipt,-2.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.060086650174007626,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.060086650174007626,385.2944056367983
Individual Income Taxes,103981000000,Receipt,-2.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.060086650174007626,333.99161792972455
Miscellaneous Receipts,11516000000,Receipt,-2.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.07585818002124356,221.0
Corporation Income Taxes,5935000000,Receipt,-2.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.07585818002124356,117.31652780713064
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.07585818002124356,385.00420948760916
Customs Duties,2421000000,Receipt,-2.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.07585818002124356,70.5806752660786
Excise Taxes,8123000000,Receipt,-2.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.07585818002124356,164.0523803481827
Estate and Gift Taxes,2015000000,Receipt,-2.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.07585818002124356,23.844822725026553
Deficit,88426000000,Deficit,-2.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.07585818002124356,282.4759145697132
Individual Income Taxes,103981000000,Receipt,-2.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.07585818002124356,333.74006202866116
Excise Taxes,8123000000,Receipt,-2.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.0953494648991095,164.22000539813234
Corporation Income Taxes,5935000000,Receipt,-2.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.0953494648991095,117.43639920912952
Individual Income Taxes,103981000000,Receipt,-2.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.0953494648991095,333.4291760348592
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.0953494648991095,384.6455698458564
Deficit,88426000000,Deficit,-2.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.0953494648991095,282.212782223862
Customs Duties,2421000000,Receipt,-2.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.0953494648991095,70.65279302012671
Miscellaneous Receipts,11516000000,Receipt,-2.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.0953494648991095,221.0
Estate and Gift Taxes,2015000000,Receipt,-2.25,0.008381305736723013,25.0,8.0,7.6,23.75,0.0953494648991095,23.869186831123887
Individual Income Taxes,103981000000,Receipt,-2.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.11920292202211757,333.0487133937472
